iter	Passed	Remaining
0	169	169685
1	172	86102
2	175	58174
3	177	44296
4	180	36016
5	183	30405
6	185	26385
7	188	23368
8	190	21018
9	193	19183
10	196	17665
11	198	16383
12	201	15294
13	203	14361
14	207	13614
15	210	12930
16	212	12302
17	215	11741
18	217	11239
19	220	10788
20	221	10339
21	223	9939
22	225	9568
23	226	9224
24	228	8905
25	229	8612
26	231	8339
27	235	8178
28	237	7955
29	241	7814
30	243	7611
31	245	7413
32	246	7235
33	249	7076
34	251	6927
35	254	6814
36	256	6680
37	258	6554
38	260	6416
39	261	6283
40	263	6156
41	264	6036
42	266	5921
43	267	5810
44	269	5709
45	270	5609
46	272	5518
47	273	5432
48	275	5344
49	276	5258
50	278	5177
51	279	5098
52	281	5021
53	282	4954
54	284	4883
55	285	4814
56	287	4748
57	288	4683
58	289	4621
59	291	4561
60	292	4505
61	294	4450
62	295	4395
63	297	4347
64	298	4297
65	300	4247
66	301	4198
67	302	4141
68	303	4095
69	304	4051
70	306	4009
71	307	3968
72	309	3926
73	311	3892
74	312	3856
75	314	3819
76	315	3781
77	316	3745
78	318	3710
79	321	3702
80	325	3688
81	326	3658
82	328	3626
83	329	3594
84	330	3557
85	331	3527
86	332	3492
87	334	3469
88	336	3441
89	337	3413
90	339	3388
91	340	3364
92	342	3338
93	343	3313
94	345	3288
95	346	3263
96	348	3243
97	349	3220
98	351	3196
99	352	3173
100	354	3156
101	355	3128
102	356	3106
103	358	3084
104	359	3063
105	360	3042
106	362	3022
107	363	3002
108	364	2982
109	366	2963
110	367	2944
111	369	2928
112	370	2909
113	372	2891
114	373	2873
115	374	2853
116	375	2836
117	377	2819
118	378	2800
119	379	2783
120	381	2770
121	384	2766
122	386	2753
123	390	2755
124	392	2750
125	398	2760
126	400	2754
127	402	2738
128	404	2730
129	406	2720
130	409	2713
131	412	2710
132	414	2701
133	416	2692
134	419	2687
135	421	2677
136	423	2668
137	425	2660
138	428	2653
139	430	2645
140	434	2648
141	437	2644
142	440	2641
143	442	2632
144	445	2624
145	447	2617
146	449	2609
147	452	2604
148	454	2594
149	456	2585
150	458	2576
151	459	2566
152	461	2556
153	464	2551
154	465	2539
155	467	2527
156	468	2515
157	470	2505
158	471	2494
159	473	2483
160	474	2472
161	475	2461
162	478	2455
163	480	2447
164	481	2437
165	482	2426
166	484	2416
167	485	2406
168	487	2396
169	488	2386
170	490	2377
171	491	2367
172	493	2357
173	494	2347
174	495	2337
175	497	2328
176	499	2320
177	500	2311
178	501	2301
179	503	2292
180	504	2283
181	506	2274
182	507	2265
183	508	2256
184	510	2247
185	511	2238
186	513	2231
187	514	2222
188	516	2214
189	519	2216
190	521	2208
191	522	2199
192	524	2191
193	525	2182
194	526	2174
195	528	2167
196	529	2159
197	532	2158
198	536	2157
199	537	2149
200	538	2141
201	540	2134
